spotifyID,title,artist,durationMs,songKey,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,spotifyID,chart date,ranking
2Fxmhks0bxGSBdJ92vM42m,Bad Guy,Billie Eilish,194088,7,1,4,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,2019-11-08,10
2Fxmhks0bxGSBdJ92vM42m,Bad Guy,Billie Eilish,194088,7,1,4,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,2019-11-15,12
2Fxmhks0bxGSBdJ92vM42m,Bad Guy,Billie Eilish,194088,7,1,4,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,2019-11-22,13
2gwkD6igEhQbDQegRCcdoB,Suge,DaBaby,163320,2,0,4,0.0608,0.876,0.662,0.0,0.127,-6.482,0.426,0.844,75.445,2gwkD6igEhQbDQegRCcdoB,2019-11-15,38
2gwkD6igEhQbDQegRCcdoB,Suge,DaBaby,163320,2,0,4,0.0608,0.876,0.662,0.0,0.127,-6.482,0.426,0.844,75.445,2gwkD6igEhQbDQegRCcdoB,2019-11-22,37
2ksOAxtIxY8yElEWw8RhgK,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",301714,7,1,4,0.0846,0.786,0.808,0.000289,0.0822,-3.702,0.0882,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK,2019-11-15,94
2ksOAxtIxY8yElEWw8RhgK,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",301714,7,1,4,0.0846,0.786,0.808,0.000289,0.0822,-3.702,0.0882,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK,2019-11-22,99
2moC0T4mGwmP8dUDostr2g,For My Daughter,Kane Brown,223923,1,1,4,0.275,0.537,0.561,5.78e-05,0.126,-8.09,0.0287,0.35,139.939,2moC0T4mGwmP8dUDostr2g,2019-11-15,90
2P2kJEIAXutA2J7DXW1Wux,La Cancion,J Balvin & Bad Bunny,242520,7,1,4,0.127,0.711,0.746,3.26e-06,0.11,-4.735,0.297,0.435,176.056,2P2kJEIAXutA2J7DXW1Wux,2019-11-22,84
2QpGZOhTCHHiKmpSO9FW4h,Follow God,Kanye West,104591,1,1,4,0.000248,0.529,0.9,1.21e-05,0.0426,-3.503,0.418,0.434,180.291,2QpGZOhTCHHiKmpSO9FW4h,2019-11-08,7
2QpGZOhTCHHiKmpSO9FW4h,Follow God,Kanye West,104591,1,1,4,0.000248,0.529,0.9,1.21e-05,0.0426,-3.503,0.418,0.434,180.291,2QpGZOhTCHHiKmpSO9FW4h,2019-11-15,37
2QpGZOhTCHHiKmpSO9FW4h,Follow God,Kanye West,104591,1,1,4,0.000248,0.529,0.9,1.21e-05,0.0426,-3.503,0.418,0.434,180.291,2QpGZOhTCHHiKmpSO9FW4h,2019-11-22,38
2rMAtCaTj16NptyVfEIeAC,Cash Shit,Megan Thee Stallion Featuring DaBaby,192540,1,1,4,0.0218,0.921,0.635,0.0,0.0946,-4.904,0.416,0.549,130.028,2rMAtCaTj16NptyVfEIeAC,2019-11-15,80
2SasoXZyv82yYgHiVOvxQn,On God,Kanye West,136351,9,0,4,0.0671,0.41,0.886,0.0,0.461,-4.413,0.155,0.393,72.577,2SasoXZyv82yYgHiVOvxQn,2019-11-08,23
2SasoXZyv82yYgHiVOvxQn,On God,Kanye West,136351,9,0,4,0.0671,0.41,0.886,0.0,0.461,-4.413,0.155,0.393,72.577,2SasoXZyv82yYgHiVOvxQn,2019-11-15,96
2W4yABdLc4Jnds67Poi5Nl,Yellow Hearts,Ant Saunders,223258,7,1,4,0.177,0.865,0.438,0.0,0.0743,-8.943,0.0719,0.695,129.038,2W4yABdLc4Jnds67Poi5Nl,2019-11-22,81
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours",Dan + Shay & Justin Bieber,167693,10,1,4,0.153,0.654,0.63,0.0,0.111,-4.644,0.0259,0.43,89.991,2wrJq5XKLnmhRXHIAf9xBa,2019-11-08,12
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours",Dan + Shay & Justin Bieber,167693,10,1,4,0.153,0.654,0.63,0.0,0.111,-4.644,0.0259,0.43,89.991,2wrJq5XKLnmhRXHIAf9xBa,2019-11-15,10
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours",Dan + Shay & Justin Bieber,167693,10,1,4,0.153,0.654,0.63,0.0,0.111,-4.644,0.0259,0.43,89.991,2wrJq5XKLnmhRXHIAf9xBa,2019-11-22,10
2Xqm0jHnkvjzrkkVRInzUB,I Don't Care,Ed Sheeran & Justin Bieber,218373,6,1,4,0.347,0.759,0.688,0.0,0.11,-4.413,0.0801,0.812,101.902,2Xqm0jHnkvjzrkkVRInzUB,2019-11-08,20
2Xqm0jHnkvjzrkkVRInzUB,I Don't Care,Ed Sheeran & Justin Bieber,218373,6,1,4,0.347,0.759,0.688,0.0,0.11,-4.413,0.0801,0.812,101.902,2Xqm0jHnkvjzrkkVRInzUB,2019-11-15,20
2Xqm0jHnkvjzrkkVRInzUB,I Don't Care,Ed Sheeran & Justin Bieber,218373,6,1,4,0.347,0.759,0.688,0.0,0.11,-4.413,0.0801,0.812,101.902,2Xqm0jHnkvjzrkkVRInzUB,2019-11-22,24
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones And I,209438,6,0,4,0.692,0.824,0.588,0.000104,0.149,-6.4,0.0924,0.513,98.027,2XU0oxnq2qxCpomAAuJY8K,2019-11-15,23
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones And I,209438,6,0,4,0.692,0.824,0.588,0.000104,0.149,-6.4,0.0924,0.513,98.027,2XU0oxnq2qxCpomAAuJY8K,2019-11-22,23
2xyx0o4xNOLLjBSbOOdcbA,Playing Games,Summer Walker,143227,11,0,4,0.603,0.726,0.408,0.0,0.225,-6.606,0.0614,0.459,115.918,2xyx0o4xNOLLjBSbOOdcbA,2019-11-08,34
2xyx0o4xNOLLjBSbOOdcbA,Playing Games,Summer Walker,143227,11,0,4,0.603,0.726,0.408,0.0,0.225,-6.606,0.0614,0.459,115.918,2xyx0o4xNOLLjBSbOOdcbA,2019-11-15,29
2xyx0o4xNOLLjBSbOOdcbA,Playing Games,Summer Walker,143227,11,0,4,0.603,0.726,0.408,0.0,0.225,-6.606,0.0614,0.459,115.918,2xyx0o4xNOLLjBSbOOdcbA,2019-11-22,33
2YpeDb67231RjR0MgVLzsG,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,157067,6,1,4,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,0.639,136.041,2YpeDb67231RjR0MgVLzsG,2019-11-08,21
2YpeDb67231RjR0MgVLzsG,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,157067,6,1,4,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,0.639,136.041,2YpeDb67231RjR0MgVLzsG,2019-11-15,18
2YpeDb67231RjR0MgVLzsG,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,157067,6,1,4,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,0.639,136.041,2YpeDb67231RjR0MgVLzsG,2019-11-22,21
39JRmdKFka1Oe09FoOCPI4,Selah,Kanye West,164620,9,0,3,0.647,0.482,0.618,0.000859,0.32,-5.673,0.197,0.146,90.076,39JRmdKFka1Oe09FoOCPI4,2019-11-08,19
39JRmdKFka1Oe09FoOCPI4,Selah,Kanye West,164620,9,0,3,0.647,0.482,0.618,0.000859,0.32,-5.673,0.197,0.146,90.076,39JRmdKFka1Oe09FoOCPI4,2019-11-15,92
3cphb8kdsjElYR7r5icK3H,Nice To Meet Ya,Niall Horan,158805,4,0,4,0.0119,0.591,0.841,0.0,0.395,-4.351,0.0304,0.392,109.034,3cphb8kdsjElYR7r5icK3H,2019-11-15,78
3cphb8kdsjElYR7r5icK3H,Nice To Meet Ya,Niall Horan,158805,4,0,4,0.0119,0.591,0.841,0.0,0.395,-4.351,0.0304,0.392,109.034,3cphb8kdsjElYR7r5icK3H,2019-11-22,63
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,175721,7,0,4,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0.0317,0.0605,76.469,3eekarcy7kvN4yt5ZFzltW,2019-11-08,14
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,175721,7,0,4,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0.0317,0.0605,76.469,3eekarcy7kvN4yt5ZFzltW,2019-11-15,14
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,175721,7,0,4,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0.0317,0.0605,76.469,3eekarcy7kvN4yt5ZFzltW,2019-11-22,12
3eeyKNIBrt5TH4y0y3QkOu,Hot Now,YoungBoy Never Broke Again,128414,4,0,4,0.232,0.739,0.637,0.0,0.634,-5.79,0.44,0.513,164.91,3eeyKNIBrt5TH4y0y3QkOu,2019-11-15,83
3eeyKNIBrt5TH4y0y3QkOu,Hot Now,YoungBoy Never Broke Again,128414,4,0,4,0.232,0.739,0.637,0.0,0.634,-5.79,0.44,0.513,164.91,3eeyKNIBrt5TH4y0y3QkOu,2019-11-22,88
3JWiDGQX2eTlFvKj3Yssj3,Closed On Sunday,Kanye West,151873,11,0,4,0.873,0.799,0.291,0.000641,0.139,-7.353,0.0318,0.406,97.984,3JWiDGQX2eTlFvKj3Yssj3,2019-11-08,17
3JWiDGQX2eTlFvKj3Yssj3,Closed On Sunday,Kanye West,151873,11,0,4,0.873,0.799,0.291,0.000641,0.139,-7.353,0.0318,0.406,97.984,3JWiDGQX2eTlFvKj3Yssj3,2019-11-15,84
3LK6wDkhbTyg8GhJidU9oC,Remember You Young,Thomas Rhett,180467,6,1,4,0.355,0.396,0.51,0.0,0.113,-6.274,0.0327,0.299,113.994,3LK6wDkhbTyg8GhJidU9oC,2019-11-15,68
3LK6wDkhbTyg8GhJidU9oC,Remember You Young,Thomas Rhett,180467,6,1,4,0.355,0.396,0.51,0.0,0.113,-6.274,0.0327,0.299,113.994,3LK6wDkhbTyg8GhJidU9oC,2019-11-22,53
3npzogdOEiVsieXmmhBepL,The Bones,Maren Morris,197293,11,0,4,0.279,0.612,0.57,0.0,0.0963,-6.642,0.0347,0.335,77.004,3npzogdOEiVsieXmmhBepL,2019-11-15,54
3npzogdOEiVsieXmmhBepL,The Bones,Maren Morris,197293,11,0,4,0.279,0.612,0.57,0.0,0.0963,-6.642,0.0347,0.335,77.004,3npzogdOEiVsieXmmhBepL,2019-11-22,48
3QzAOrNlsabgbMwlZt7TAY,Ballin',Mustard Featuring Roddy Ricch,180435,7,1,4,0.392,0.809,0.545,0.0,0.151,-6.678,0.0735,0.244,97.008,3QzAOrNlsabgbMwlZt7TAY,2019-11-08,31
